;;FR Base FR Base;FR Base FR Base;FR Base FR Base;FR Base FR Base;;;;;;;;;;;;;;
Date;Nature relève;Consommation (kWh);Index;Consommation (kWh);Index;;;;;;;;;;;;;;
21-06-2025;evt réelle;;;8;8 105;;;;;;;;;;;;;;
22-06-2025;estimée;;;8;8 113;;;;;;;;;;;;;;
23-06-2025;estimée;;;8;8 121;;;;;;;;;;;;;;
24-06-2025;evt réelle;;;3;8 129;;;;;;;;;;;;;;
25-06-2025;evt réelle;;;5;8 132;;;;;;;;;;;;;;
26-06-2025;evt réelle;;;4;8 137;;;;;;;;;;;;;;
27-06-2025;estimée;;;5;8 141;;;;;;;;;;;;;;
28-06-2025;estimée;;;7;8 146;;;;;;;;;;;;;;
29-06-2025;estimée;;;6;8 153;;;;;;;;;;;;;;
30-06-2025;evt réelle;;;6;8 159;;;;;;;;;;;;;;
01-07-2025;evt réelle;;;7;8 165;;;;;;;;;;;;;;
02-07-2025;evt réelle;;;3;8 172;;;;;;;;;;;;;;
03-07-2025;evt réelle;;;5;8 175;;;;;;;;;;;;;;
04-07-2025;evt réelle;;;5;8 180;;;;;;;;;;;;;;
05-07-2025;evt réelle;;;6;8 185;;;;;;;;;;;;;;
06-07-2025;estimée;;;8;8 191;;;;;;;;;;;;;;
07-07-2025;evt réelle;;;2;8 199;;;;;;;;;;;;;;
08-07-2025;evt réelle;;;5;8 201;;;;;;;;;;;;;;
09-07-2025;evt réelle;;;2;8 206;;;;;;;;;;;;;;
10-07-2025;estimée;;;3;8 208;;;;;;;;;;;;;;
11-07-2025;evt réelle;;;6;8 211;;;;;;;;;;;;;;
12-07-2025;evt réelle;;;5;8 217;;;;;;;;;;;;;;
13-07-2025;evt réelle;;;5;8 222;;;;;;;;;;;;;;
14-07-2025;evt réelle;;;4;8 227;;;;;;;;;;;;;;
15-07-2025;estimée;;;5;8 231;;;;;;;;;;;;;;
16-07-2025;evt réelle;;;6;8 236;;;;;;;;;;;;;;
17-07-2025;evt réelle;;;4;8 242;;;;;;;;;;;;;;
18-07-2025;evt réelle;;;1;8 246;;;;;;;;;;;;;;
19-07-2025;estimée;;;6;8 247;;;;;;;;;;;;;;
20-07-2025;evt réelle;;;2;8 253;;;;;;;;;;;;;;
21-07-2025;evt réelle;;;5;8 255;;;;;;;;;;;;;;
22-07-2025;estimée;;;4;8 260;;;;;;;;;;;;;;
23-07-2025;evt réelle;;;3;8 264;;;;;;;;;;;;;;
24-07-2025;evt réelle;;;4;8 267;;;;;;;;;;;;;;
25-07-2025;evt réelle;;;6;8 271;;;;;;;;;;;;;;
26-07-2025;estimée;;;4;8 277;;;;;;;;;;;;;;
27-07-2025;estimée;;;7;8 281;;;;;;;;;;;;;;
28-07-2025;estimée;;;1;8 288;;;;;;;;;;;;;;
29-07-2025;evt réelle;;;2;8 289;;;;;;;;;;;;;;
30-07-2025;evt réelle;;;3;8 291;;;;;;;;;;;;;;
31-07-2025;evt réelle;;;1;8 294;;;;;;;;;;;;;;
